# FMK - opslag
Opret recept til praksis;Opret/rediger recept
Erstat recept;Opret/rediger recept
Marker recept ordination ikke aktuel;Opret/rediger recept
Afmarker recept ordination ikke aktuel;Opret/rediger recept
Annuller recept;Opret/rediger recept
Foretag ekspedition;Ekspedition af recept
Kvitter for modtagelse;Ekspedition af recept
Opret recept og foretag ekspedition;Ekspedition af recept
Fjern status under behandling;Ekspedition af recept
Anmod om at frigive ordination;Ekspedition af recept
Sæt status for frigiv ordination;Ekspedition af recept
# EO/FMK bestillinger
Bestil effektuering;Opret/rediger receptbestillinger
Hent bestillinger;Opslag på receptbestillinger
Hent bestillingsoversigt;Opslag på receptbestillinger
Annuller bestillinger;Opret/rediger receptbestillinger
Opret bestilling;Opret/rediger receptbestillinger
Annuller bestilling;Opret/rediger receptbestillinger
Hent nye bestillinger;Opslag på receptbestillinger
# POR
Hent patienttilknytning;Opslag på patientdata
Hent patienttilknytning med datoer;Opslag på patientdata
Hent patientregistrering;Opslag på patientdata
Avanceret søgning på person;Opslag på patientdata
Opret patienttilknytning;Opret/rediger patientdata
Fjern patienttilknytning;Opret/rediger patientdata
Opret patientregistrering;Opret/rediger patientdata
Fjern patientregistrering;Opret/rediger patientdata
# ADMIN GUI
Hent medicinkort;Administratoropslag
Hent medicinkort for apoteker;Administratoropslag
Påbegynd effektuering;Administratoropslag
Afbryd effektuering;Administratoropslag
Opret effektuering på recept;Administratoropslag
Hent lægemiddelordination;Administratoropslag
Hent lægemiddelordinationer;Administratoropslag
Hent person;Administratoropslag
Hent personnavn;Administratoropslag
Søg lægemiddelordinationer;Administratoropslag
Søg antal lægemiddelordinationer;Administratoropslag
Søg effektueringer;Administratoropslag
Søg antal effektueringer;Administratoropslag
Hent effektuering;Administratoropslag
Hent effektueringer;Administratoropslag
Hent tilknyttede receptordinationer;Administratoropslag
Hent løse receptordinationer;Administratoropslag
Hent tilknyttede recepter;Administratoropslag
Hent løse recepter;Administratoropslag
Hent autorisationsnummer;Administratoropslag
Søg hændelser;Administratoropslag
Søg antal hændelser;Administratoropslag
Hent lægemiddelversioner;Administratoropslag
Hent medicinkortversioner;Administratoropslag
Hent alle adm brugere;Administratoropslag
Slet adm bruger;Administratoropslag
Tilføj adm bruger;Administratoropslag
Hent lægens medhælpere;Administratoropslag
Hent lægens navn;Administratoropslag
Hent auditlog;Administratoropslag
Hent bruger login;Administratoropslag
Hent patienttilknytning;Administratoropslag
Hent patienttilknytning med datoer;Administratoropslag
Invalider medicinkort;Administrative ændringer
Frigiv medicinkort;Administrative ændringer
Invalider ordination;Administrative ændringer
Invalider effektuering;Administrative ændringer
Send et xml request fra admin brugergrænsefladen;Administrative ændringer
Opret patienttilknytning;Administrative ændringer
Opdatering af medicinkort;Administrative ændringer
Opret lægemiddelordination;Administrative ændringer
Opret effektuering;Administrative ændringer
Hent samtykke/værdispring;Administratoropslag
Hent medicinkortversion;Administratoropslag
Afslut recept;Administratoropslag
Ugyldiggør recept;Administratoropslag
Genåbn recept;Administratoropslag
Opret recept, bestilling og effektuering;Administratoropslag
Kvitter for bestillinger;Administratoropslag
# TAS
Vis antal tilskudsansøgninger med udestående yderligere oplysninger;Hent tilskudsoplysninger
Vis tilskudsansøgninger;Hent tilskudsoplysninger
Hent information om eksisterende tilskudsansøgninger;Hent tilskudsoplysninger
Vis detaljer for tilskudsansøgning;Hent tilskudsoplysninger
Vis bilag for tilskudsansøgning;Hent tilskudsoplysninger
Indsend yderligere oplysninger for tilskudsansøgning;Indsend yderligere oplysninger
Indsend tilskudsansøgning;Indsend tilskudsansøgning
#DDV
Opret anbefalede vaccinationer;Opret/rediger anbefalede vaccinationer
Opret eksplicit forløbsfravalg;Opret/rediger anbefalede vaccinationer
Opret vaccination;Opret/rediger vaccinationer
Opret vaccination og anbefalede vaccinationer;Opret/rediger vaccinationer
Slet anbefalet vaccination;Opret/rediger anbefalede vaccinationer
Slet vaccinationsforløbstilknytning;Opret/rediger anbefalede vaccinationer
Slet eksplicit fravalg af vaccinationsforløb;Opret/rediger anbefalede vaccinationer
Slet vaccination;Opret/rediger vaccinationer
Effektuer anbefalet vaccination;Opret/rediger vaccinationer
Hent anbefalede vaccinationer;Opslag på anbefalede vaccinationer
Hent anbefalede vaccinationer;Administratoropslag
Hent vaccinationer;Opslag på vaccinationer
Hent vaccinationer;Administratoropslag
Udskrift af vaccinationer;Opslag på vaccinationer
Hent valgte og eksplicit fravalgte vaccinationsforløb;Opslag på anbefalede vaccinationer
Hent eksplicit fravalgte  vaccinationsforløb;Opslag på anbefalede vaccinationer
Hent vaccination med historik;Opslag på vaccinationer
Opdater anbefalet vaccination;Opret/rediger anbefalede vaccinationer
Opdater vaccination;Opret/rediger vaccinationer
Privatmarkerede vaccinationer vist med patientsamtykke;Opslag på privatmarkerede data	
Privatmarkerede vaccinationer vist pga. værdispringsregel;Opslag på privatmarkerede data
# ikke med i minlog - SKAL listes her for ikke at havne i errorlog som manglende gruppering
Slet autorisation for system
Opdater autorisation for system
Fjern lægens medhjælper
Opret recept til praksis
Menu opsætning
Tilføj lægens medhjælper
Hent autorisation for system
Hent organisationsnavn
Opret autorisation for system
Hent rettigheder for rolle
Hent navne på testdataset
Hent kommune
Opdater samtykke/værdispring
Henter metoder
Slet Godkendelsestest
Sæt rettigheder for rolle
Indlæs testdata
Send mistet advis advis
Opret recept uden CPR
Indlæs testdata for bruger
Opret recept uden CPR
Hent rettigheder
Hent mulige xml requests
Slet testdata
Søg medicinkort
